child_id,velocity_mean,velocity_std,velocity_max,velocity_cv,tremor_indicator,acc_magnitude_mean,acc_magnitude_std,palm_touch_ratio,unique_fingers,max_finger_id,session_duration,stroke_count,total_touch_points,unique_zones,unique_colors,final_completion,completion_progress_rate,avg_time_between_points,canceled_touches,session_count,touches_per_zone,strokes_per_zone,zones_per_minute,vel_std_over_mean,acc_std_over_mean,avg_ibp_norm,interpoint_rate,touch_rate,stroke_rate,bin_touch_rate_0,bin_touch_rate_1,bin_touch_rate_2,bin_touch_rate_3,bin_strokes_per_zone_0,bin_strokes_per_zone_1,bin_strokes_per_zone_2,bin_strokes_per_zone_3,bin_vel_std_over_mean_0,bin_vel_std_over_mean_1,bin_vel_std_over_mean_2,bin_vel_std_over_mean_3,bin_acc_std_over_mean_0,bin_acc_std_over_mean_1,bin_acc_std_over_mean_2,bin_acc_std_over_mean_3,bin_zones_per_minute_0,bin_zones_per_minute_1,bin_zones_per_minute_2,bin_zones_per_minute_3,bin_interpoint_rate_0,bin_interpoint_rate_1,bin_interpoint_rate_2,bin_interpoint_rate_3
660b979ac36853ac732e4ba9,792.6245118968859,981.6222396243797,21011.365646741822,1.2102049831448911,0.010259280403536854,0.9894712881577653,0.010259280403536854,0.005142687218677937,3.5,2.5,65.78540000000248,23.75,1464.0,6.75,3.25,91.409261,0.0711214957847367,0.04867262515402633,6.25,4,216.88888856757202,3.5185185133058985,6.156381146974193,1.2384454743429592,0.01036844668727427,0.0007398697149614626,1351.5890356423517,22.254177975316757,0.36102235444929853,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
660ba5159a46c41dc7204993,1084.9862129882158,1043.9737479381515,7198.8947647058085,0.9701305161983533,0.0018033347529476692,0.9896071559862611,0.0018033347529476692,0.001474321607373799,1.75,0.75,56.06359999999768,19.25,1204.75,6.75,2.0,93.2902225,0.07974570616383078,0.045618581823079124,2.0,4,178.48148121706447,2.8518518476268864,7.22393844964743,0.962200012711008,0.0018222733372695737,0.0008136934091807176,1228.9638449916874,21.488987503213494,0.3433600410349531,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
660bb5e19a46c433c4204994,1708.0288808251262,3977.585947906557,59929.70908121115,1.937041111370229,0.00835701922802933,0.989388747403391,0.00835701922802933,0.022632397809702776,7.0,6.0,83.55446666666587,63.0,791.6666666666666,5.333333333333333,4.666666666666667,50.590868666666665,0.04348532996504415,0.08506058764992343,27.333333333333332,3,148.4374997216797,11.812499977851564,3.82983711665246,2.3287580160598633,0.008446648666154216,0.001018025618894629,982.2934353288205,9.474857516956114,0.7539991876651391,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
660cde7fc368538a942e4bbc,598.7408810830738,684.7541699202826,9780.878888165627,1.1469173911562798,0.017451047982399725,0.9897952198248495,0.017451047982399725,0.0021908872899642933,4.0,3.0,124.44403333333078,30.333333333333332,3036.0,7.333333333333333,2.6666666666666665,91.03910533333332,0.030035494478990264,0.04113383135390682,6.666666666666667,3,413.9999994354546,4.136363630723141,3.5357259491903332,1.1436569500151403,0.01763096795838044,0.0003305408081753666,3025.3443210577093,24.396509165079273,0.24375080522861373,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
660ce55dc36853342c2e4bc3,887.5785989535029,852.2236110282096,5340.805005433624,0.9629623626069446,0.0009939695563665363,0.9893623341586476,0.0009939695563665363,0.0008776124630820189,3.3333333333333335,2.3333333333333335,179.40046666666845,65.66666666666667,3385.0,7.0,6.0,95.35406599999999,0.02821802456358305,0.05295250171014212,3.0,3,483.57142788061225,9.380952367551021,2.341131026017308,0.9601669215812771,0.0010046567491021772,0.0002951636787298767,3387.950087404588,18.86840130745451,0.3660339790810968,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
660cf31ac36853aadd2e4bc4,1116.0588115520652,1107.6266790091886,6394.436233671367,0.9979164363148797,0.02427269721779023,0.9909800843869654,0.02427269721779023,0.0018043131643814669,3.6666666666666665,2.6666666666666665,84.09336666666786,11.0,2151.6666666666665,6.666666666666667,1.0,95.89524999999999,0.0446945476982048,0.03928524421772712,3.6666666666666665,3,322.74999951587495,1.649999997525,4.756617709593707,0.9924447238214313,0.024493627425287153,0.00046716222420700173,2140.5834924881683,25.586639609038958,0.1308069879315702,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
660cf806c3685365c42e4bc5,513.2550650251463,812.7111874829634,27051.578379631086,1.589231915314271,0.02262443802394867,0.9903918028124915,0.02262443802394867,0.004012271185018477,7.666666666666667,6.666666666666667,182.33150000000023,77.66666666666667,4135.666666666667,7.333333333333333,3.6666666666666665,92.09778139999999,0.02281171327349227,0.04468805914988449,16.666666666666668,3,563.9545446855166,10.590909076466943,2.4131869619461654,1.5834450409706353,0.022843926748243523,0.00024509236828213176,4080.0934897960688,22.68212934374938,0.4259640636006775,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
660e2ef9c368532f6c2e4bce,590.780830112583,916.0421240752785,18306.095586542546,1.580786901213833,0.0014767407724557999,0.9895270337751567,0.0014767407724557999,0.007718155881238781,6.666666666666667,5.666666666666667,116.0586666666665,55.666666666666664,2547.6666666666665,7.0,5.333333333333333,89.18470810000001,0.03558403501621255,0.04574175633667716,18.666666666666668,3,363.952380432449,7.952380941020408,3.6188594087072485,1.5505616928789074,0.0014923703012924923,0.00039412615745544757,2537.258089738591,21.95154174710912,0.47964247962412965,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
660e3c109a46c4d22d2049c5,1487.742234360216,1878.0926077679235,26781.804212165716,1.2564171832764028,0.0020508621750418466,0.9895057429629176,0.0020508621750418466,0.009743744905989152,8.333333333333334,7.333333333333333,86.68206666666568,43.0,1659.0,7.0,3.0,89.62116733333333,0.05601514822851975,0.05073542289034207,15.333333333333334,3,236.99999966142857,6.142857134081633,4.845292841343143,1.2623776917665774,0.002072612684565871,0.0005853047214436082,1708.5114236438562,19.138906853574056,0.49606569903778447,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
660e4a6a9a46c4f80b2049c6,909.3850893414289,965.6214705361477,7888.766808113211,1.058130626197927,0.0007765443414401895,0.9894375880144898,0.0007765443414401895,0.002367951115405631,3.3333333333333335,2.3333333333333335,116.68230000000283,59.0,2579.3333333333335,7.0,4.0,97.93080126666666,0.038398896568822595,0.04527352984552435,6.0,3,368.4761899497959,8.428571416530612,3.599517646123527,1.061840007982566,0.0007848340744262049,0.00038800683429828853,2577.273621813731,22.105609275033274,0.5056465290360416,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
